gebouw_id,Huisnummer,HuisnummerExtra,POSTCODE,Object,Oppervlakte,gebruiksdoel1,gebruiksdoel2,gebruiksdoel3
286,275,,2545CH,,,,,
320,275,,2545CH,,,,,
321,275,,2545CH,,,,,
319,275,,2545CH,,,,,
305,275,,2545CH,,,,,
295,275,,2545CH,,,,,
245,275,,2545CH,,,,,
306,275,,2545CH,,,,,
310,275,,2545CH,,,,,
301,275,,2545CH,,,,,
173,275,,2545CH,,,,,
174,275,,2545CH,,,,,
155,275,,2545CH,,,,,
156,275,,2545CH,,,,,
195,275,,2545CH,,,,,
194,275,,2545CH,,,,,
170,275,,2545CH,,,,,
171,275,,2545CH,,,,,
151,275,,2545CH,,,,,
153,275,,2545CH,,,,,
176,275,,2545CH,,,,,
177,275,,2545CH,,,,,
158,275,,2545CH,,,,,
159,275,,2545CH,,,,,
179,275,,2545CH,,,,,
180,275,,2545CH,,,,,
161,275,,2545CH,,,,,
162,275,,2545CH,,,,,
182,275,,2545CH,,,,,
183,275,,2545CH,,,,,
164,275,,2545CH,,,,,
165,275,,2545CH,,,,,
184,275,,2545CH,,,,,
186,275,,2545CH,,,,,
185,275,,2545CH,,,,,
168,275,,2545CH,,,,,
700,97,,3511ED,,,,,
702,97,,3511ED,,,,,
703,97,,3511ED,,,,,
698,97,,3511ED,,,,,
705,97,,3511ED,,,,,
706,97,,3511ED,,,,,
707,97,,3511ED,,,,,
708,97,,3511ED,,,,,
699,97,,3511ED,,,,,
697,97,,3511ED,,,,,
704,97,,3511ED,,,,,
701,97,,3511ED,,,,,
859,75-110,,4811BN,,,,,
67,,,3815KL,,,,,
1093,50,,5617AB,,,,,
1221,39,,1024TW,,,,,
1108,101,,3584bb,,,,,
631,house,,zipcode,,,,,
752,2,,1525PA,,,,,
94,,,1111AA,,,,,
760,11,,3721MA,,,,,
754,10,,3821AR,,,,,
98,,,3815KL,,,,,
1447,1,,5652GB,,,,,
1305,5,,5301PA,,,,,
1622,12,,1111AA,,,,,
1623,12,,1111AA,,,,,
727,3,,6574NA,,,,,
719,3,,6574NA,,,,,
716,3,,6574NA,,,,,
713,3,,6574NA,,,,,
913,10,,5631KA,,,,,
911,4,,5631KA,,,,,
912,8,,5631KA,,,,,
858,10,,2595AA,,,,,
882,3,,5616EA,,,,,
431,10,,7557EH,,,,,
265,,,,,,,,
1040,1,,2586ER,,,,,
1219,101,,3584BB,,,,,
62,,,3815KL,,,,,
878,26,E,5652AP,,,,,
409,50,c,7557CT,,,,,
410,50,c,7557CT,,,,,
411,50,c,7557CT,,,,,
914,4,,5624EB,,,,,
915,3,,5616EA,,,,,
1472,166,,6071PW,,,,,
1451,1,,2585JL,,,,,
1871,76,,6824BM,,,,,
823,76,,6824BM,,,,,
822,76,,6824BM,,,,,
1870,76,,6824BM,,,,,
1872,76,,6824BM,,,,,
824,76,,6824BM,,,,,
1869,76,,6824BM,,,,,
821,76,,6824BM,,,,,
1873,76,,6824BM,,,,,
615,152,,5246AK,,,,,
616,152,,5246AK,,,,,
617,152,,5246AK,,,,,
614,152,,5246AK,,,,,
2008,3,,1431GZ,,,,,
2001,3,,1703DK,,,,,
1997,39,,2665KA,,,,,
2006,6,,2671SB,,,,,
1992,17,,3401MN,,,,,
2004,62,,3771VH,,,,,
2007,2,4,3863HW,,,,,
2005,1,,4207HA,,,,,
1991,1,,4942VS,,,,,
2000,3,,6093NE,,,,,
1994,3,,6669NA,,,,,
1989,85,,6708PV,,,,,
1988,2,,6721CP,,,,,
1995,11,,7021PB,,,,,
2002,7,C,7122LC,,,,,
1990,3,,7442PB,,,,,
1999,11,,7892AA,,,,,
1998,1,,7908HC,,,,,
1993,1,,7941JD,,,,,
2009,3,,8011CV,,,,,
1996,107,,8271GB,,,,,
2003,25,,8941BR,,,,,
3466,10,,3525CP,,,,,
3866,49,,1068ek,,,,,
3818,18,,94.3TZ,,,,,
3819,Omloop,,9401BS,,,,,
3863,87,,1091hz,,,,,
3920,75,,2134sg,,,,,
3928,1,,2132tr,,,,,
3879,35,,1967nh,,,,,
3858,nirwana,,1093na,,,,,
3923,78,,2131hs,,,,,
3861,1,,,,,,,
3918,92,,2134gv,,,,,
3815,87,,1091hz,,,,,
3926,161,,2135ts,,,,,
3821,,,,,,,,
3864,14,,1035vr,,,,,
3921,100,,2133dz,,,,,
3883,2,,1111et,,,,,
3859,15,,1025mz,,,,,
3924,9,,2133bw,,,,,
3969,13,,,,,,,
3919,29,,2134bn,,,,,
3870,186,,1187nj,,,,,
3927,227,,2132ae,,,,,
3878,88,,1948bd,,,,,
3857,14,,1567cg,,,,,
3922,16,,2135gs,,,,,
3980,22,,1507eb,,,,,
3860,3,,1025dg,,,,,
3917,1,,2134xl,,,,,
3925,78,,2135ms,,,,,
3867,195,,1103aa,,,,,
3865,49,,1104mm,,,,,
3156,16,,3817GC,,,,,
3159,29,,3818TA,,,,,
3167,6,,3851PD,,,,,
3170,35,,3815NB,,,,,
3154,75,,3817ZG,,,,,
3165,32,,3815VG,,,,,
3149,2,,3818JC,,,,,
3157,10,,3812ZN,,,,,
3180,279,,3815DJ,,,,,
3155,62,,3812EM,,,,,
3178,40,,3814TB,,,,,
3946,2,,8921SB,,,,,
3781,33,,8935JN,,,,,
3827,1,,8925CM,,,,,
3779,9,,8916EL,,,,,
2778,16,b,1097BB,,,,,
3838,99,,6821 BE,,,,,
3831,185,,7944EE,,,,,
3785,209,,,,,,,
3683,2,,6511TV,,,,,
3793,3,,7425NA,,,,,
3954,3,,8939CA,,,,,
3601,1,,7463CH,,,,,
3823,21,,8081BR,,,,,
3801,30,,1211JN,,,,,
3826,3,,8934AD,,,,,
3579,33,,7542AC,,,,,
3804,2,,1213LV,,,,,
3724,23,,,,,,,
3780,390,,8918JS,,,,,
3702,23,,3564HG,,,,,
3587,23,,7542NH,,,,,
3788,167,,1312LV,,,,,
3949,13,,8911CG,,,,,
3630,1,,6542RP,,,,,
3571,8,,7421KB,,,,,
3796,66,,1223KW,,,,,
3850,121,,,,,,,
3547,81,,7323TX,,,,,
3604,13,,7462CV,,,,,
3582,25,,7544MN,,,,,
3727,1,,,,,,,
3705,10,,,,,,,
3590,41,,7546DV,,,,,
3952,39,,8913GR,,,,,
3743,2,,,,,,,
3799,392,,1215EK,,,,,
3802,107,,1211AP,,,,,
3778,3,,8933GV,,,,,
3585,4,,7544TK,,,,,
3730,13,,3862WL,,,,,
3786,22,,1316BM,,,,,
3455,106,,3524BN,,,,,
3947,120,,8922GN,,,,,
3569,2,,7433CK,,,,,
3794,1,,1223KZ,,,,,
3955,130,,8931BW,,,,,
3636,5612,,6538VT,,,,,
3602,52,,7461BT,,,,,
3580,151,,7542BD,,,,,
3805,159,,1213RN,,,,,
3588,5,,7546MN,,,,,
3789,2,,,,,,,
3950,23,,8911JT,,,,,
3711,38,,,,,,,
3631,5,,6531HW,,,,,
3572,2,,7415JA,,,,,
3797,1,,1221DE,,,,,
3830,4,,7944NW,,,,,
3583,42,,7542EB,,,,,
3784,1,,1318CH,,,,,
3706,14,,,,,,,
3591,24,,7141DC,,,,,
3792,hoven,,7432CJ,,,,,
3953,7,,8915DW,,,,,
3800,3,,1215EK,,,,,
3803,10,,1214AA,,,,,
3586,110,,7544RT,,,,,
3731,18,,,,,,,
3787,80,,1341PV,,,,,
3948,11,,8925JA,,,,,
3629,15,,6533KM,,,,,
3570,1,,7425SJ,,,,,
3795,46,,1221EH,,,,,
3603,41,,7462MZ,,,,,
3828,2,,8921AL,,,,,
3581,118,,7522CG,,,,,
3806,17,,1212CD,,,,,
3782,2,,8932CH,,,,,
3704,154,,,,,,,
3589,249,,7544DB,,,,,
3790,23,,1311JR,,,,,
3951,1,k,,,,,,
3632,59,,6541XK,,,,,
3598,5,,8355CN,,,,,
3798,38,,1222BR,,,,,
3549,38,,1019LW,,,,,
3496,24,a,3906BW,,,,,
3232,165,,3315EH,,,,,
3286,18,,5664EP,,,,,
3208,2,,5741MB,,,,,
3422,2,,5691KD,,,,,
3478,30,A,5464PL,,,,,
3240,35,,3319VD,,,,,
3486,15,,5502HH,,,,,
3326,5,,3993TK,,,,,
3406,55,,5482SZ,,,,,
3224,2,,5683HR,,,,,
3494,6,,5551PP,,,,,
3313,49,,5706NV,,,,,
3499,5,,3906NA,,,,,
3235,5,,3319AM,,,,,
3393,1,,5491JZ,,,,,
3369,32,,5731AV,,,,,
3449,12,,5401AE,,,,,
3481,4,,5504TB,,,,,
3243,1,,3315MC,,,,,
3686,13,,5406NG,,,,,
3489,69,,5553CT,,,,,
3329,6,,3994ZB,,,,,
3251,162,,3315AT,,,,,
3409,59,,5482KG,,,,,
3281,16,,5663RS,,,,,
3284,66,,5666EE,,,,,
3162,6,,3823SK,,,,,
3182,14,,5735GJ,,,,,
3476,2,a,5463ED,,,,,
3270,31,,5658AK,,,,,
3484,1,,5503VE,,,,,
3324,17,,3991AT,,,,,
3222,1,,5684CX,,,,,
3198,5,,2652CE,,,,,
3689,3,,5461XG,,,,,
3492,2,,5552KK,,,,,
3174,66,,3812JJ,,,,,
3391,3,,5491GC,,,,,
3367,151,,5731VT,,,,,
3287,166,,5666AP,,,,,
3209,6,,5741JR,,,,,
3265,15,a,5632NP,,,,,
3423,1,,5691EL,,,,,
3479,92,,5463GL,,,,,
3487,17,,5505AA,,,,,
3327,25,,3994CR,,,,,
3407,8,,5481KD,,,,,
3225,157,,5685HS,,,,,
3495,13,,5554SW,,,,,
3160,198,,3823GW,,,,,
3474,79,,5467BP,,,,,
3394,5,,5492HD,,,,,
3450,302,,5402KL,,,,,
3482,43,A,5501AM,,,,,
3490,22,,5554JM,,,,,
3410,1,,3363LM,,,,,
3152,8,,3828VL,,,,,
3172,15,,3824PX,,,,,
3282,2,,5663CC,,,,,
3285,74,,5567BJ,,,,,
3163,414,,3825KL,,,,,
3477,40,b,5462CH,,,,,
3171,2,,3825KK,,,,,
3485,4,,5503JA,,,,,
3325,58,,3991ZG,,,,,
3405,55,a,5482KG,,,,,
3147,1,,3813EA,,,,,
3223,5,,5682HW,,,,,
3199,17,,2551CZ,,,,,
3690,10,,5408AJ,,,,,
3493,36,,5551BJ,,,,,
3175,69,,3825BS,,,,,
3158,46,,3822CZ,,,,,
3669,2,,3317BT,,,,,
3312,33,,3829AL,,,,,
3498,83,,3905ME,,,,,
3392,106,,5491AD,,,,,
3368,20,,5731EW,,,,,
3448,314,,5404NN,,,,,
3210,1,,5741XP,,,,,
3424,5,,5691EL,,,,,
3166,36,,3824CD,,,,,
3480,2,,5508DE,,,,,
3685,4,,5403NA,,,,,
3488,61,,5556VL,,,,,
3328,28,,3994ZB,,,,,
3250,3,,3318EC,,,,,
3408,37,,5482RN,,,,,
3150,104,,3816HL,,,,,
3693,1,,2651VX,,,,,
3283,2,,5664AH,,,,,
3261,31,a,5658XX,,,,,
3161,81,b,3828AC,,,,,
3475,5,,5469PA,,,,,
3501,4,a,3906EA,,,,,
3451,2,,5409AP,,,,,
3483,26,,5508TJ,,,,,
3323,30-2,,3991BK,,,,,
3221,7,,5684HG,,,,,
3197,51,,2652CE,,,,,
3491,6,,5555JG,,,,,
3173,9,a,3828CJ,,,,,
3363,22,,5738AP,,,,,
3446,1,,4007HJ,,,,,
3176,79,,3816LB,,,,,
3233,382,,3317KL,,,,,
3236,6,,3328EA,,,,,
3252,225,,3317BS,,,,,
3239,71,,3328ZK,,,,,
3242,47,,3328KS,,,,,
3259,24,,5631KK,,,,,
3263,24,a,5623DT,,,,,
3269,91,,5658RC,,,,,
3791,152,,7451AP,,,,,
3322,44-2,,3992NV,,,,,
3151,160,,3825AC,,,,,
3633,25,,6538BB,,,,,
3628,2329,,6537BT,,,,,
3643,13,,8097PR,,,,,
3938,27,c,7035 AJ,,,,,
3839,25,,6843 AP,,,,,
3834,51,,6845 KD,,,,,
3842,90,,6835 MG,,,,,
3807,Ool,,1223KW,,,,,
3625,1,,1412LA,,,,,
3681,,,3437JW,,,,,
3877,111,,7481 RP,,,,,
3840,28,,6828 JJ,,,,,
3835,107,,6836 VH,,,,,
3682,6,,3438CC,,,,,
3873,7,,7045 AE,,,,,
3616,2,,8219CG,,,,,
3565,1,a,8121EJ,,,,,
3342,51,,2315TS,,,,,
3164,11,,3824DZ,,,,,
3462,107,,3563RH,,,,,
3385,1,,5674NZ,,,,,
3300,19,,5674SN,,,,,
3298,10,,2448NM,,,,,
3349,7,,5737CM,,,,,
3357,543-7,,3607BL,,,,,
3266,16,,5615SN,,,,,
3360,228,,3605GP,,,,,
3509,37,,3452JD,,,,,
3355,60,,3605CP,,,,,
3467,184,,3523VR,,,,,
3216,1,,2665TV,,,,,
3512,6,,3452CL,,,,,
3436,5,,4211BV,,,,,
3447,23,,5113TL,,,,,
3330,14,,2961AC,,,,,
3271,10,,6011RC,,,,,
3320,37,,5725AH,,,,,
3376,17,,6361JK,,,,,
3331,4,,6037SC,,,,,
3844,128,,6845 JB,,,,,
3511,2,,3452NR,,,,,
3722,29,,,,,,,
3773,25,,6604km,,,,,
3726,58,,,,,,,
3723,29,a,,,,,,
3908,Ruwenbos,,7543 ZW,,,,,
3249,16,,3313CW,,,,,
3314,999,,5708ZT,,,,,
3196,25,,2651XR,,,,,
3687,2,,5402HM,,,,,
3247,25,,3391HS,,,,,
3245,15,,3318AG,,,,,
3296,53,,4462PC,,,,,
2775,15,,1057ZR,,,,,
2995,13,a,7047AC,,,,,
2903,7,,6013RJ,,,,,
2935,1,,6181PE,,,,,
2855,12,,5045NV,,,,,
3035,20,,8166BB,,,,,
2818,8,,3513EW,,,,,
3030,21,,8121DK,,,,,
2990,10,A,6986AT,,,,,
3046,88,,8351XN,,,,,
2925,49,A,6104BR,,,,,
3025,3,,8076PX,,,,,
2977,8,,6671AG,,,,,
2941,1,A,6305AR,,,,,
3063,2,,9423PV,,,,,
3052,9,,9321LC,,,,,
3036,12,I,8167LW,,,,,
2912,25,,6034RT,,,,,
2975,41,,6666DP,,,,,
3031,11,,8124AG,,,,,
2883,99,T,5731ZK,,,,,
3069,2,,9481GX,,,,,
2926,3,a,6109AC,,,,,
2910,13,e,6026DN,,,,,
3042,38,,8232RN,,,,,
3072,21,,9761KD,,,,,
2897,11,A,5993GM,,,,,
3045,33,,8244GP,,,,,
3070,6,,9482PJ,,,,,
2817,81,,3452AJ,,,,,
3463,187,,3522JG,,,,,
3456,29,,3564CX,,,,,
3381,3,,3432ZA,,,,,
3470,1,,3573BA,,,,,
3461,83,,3512VH,,,,,
3678,6,,3438CC,,,,,
3377,1,,3435ZB,,,,,
3380,65,,3437JW,,,,,
3679,6,,3438CC,,,,,
3378,10,,3435SH,,,,,
3339,32,,2321HJ,,,,,
3680,65,,3437JW,,,,,
3379,6,,3438CC,,,,,
3340,25,,2331LG,,,,,
3356,14,,3602ZB,,,,,
3337,29,,2311NS,,,,,
3359,30,,3601BM,,,,,
3677,30,,3601BM,,,,,
3911,13,,7545ZG,,,,,
3761,108,,7514gc,,,,,
3769,1,,7943ta,,,,,
3965,13,,8255 BC,,,,,
3914,65,,7521 CD,,,,,
3756,17,,7513CX,,,,,
3759,24,,7532XT,,,,,
3767,Gasgracht,,7943AA,,,,,
3912,47,,7545HA,,,,,
3754,10,,7548cj,,,,,
3762,65,,7534ZC,,,,,
3757,170,,7511la,,,,,
3907,246,,7541AV,,,,,
3910,4,,7543WB,,,,,
3768,7,a,7942AH,,,,,
3913,2,,7545LZ,,,,,
3755,209,,7534jz,,,,,
3909,209,,7535CV,,,,,
3958,45,,6531KA,,,,,
3764,2,,7522DL,,,,,
3959,31,,6543MR,,,,,
3753,24,,,,,,,
3887,28,a,8253 DV,,,,,
3809,70,,1333ke,,,,,
3729,22,,3862WL,,,,,
3895,86,,7415ZJ,,,,,
3890,8,,7411GG,,,,,
3898,1,,7414AR,,,,,
3957,160211,,6537 KA,,,,,
3772,32,,6605jb,,,,,
3906,2,,7468HA,,,,,
3933,21,,7483AX,,,,,
3775,121,,6602hl,,,,,
3829,12,,9084AK,,,,,
3885,5,,8251VX,,,,,
3893,37,,7423DG,,,,,
3845,22,,1325pl,,,,,
3901,836,,7423EM,,,,,
3888,62,A,8253HV,,,,,
3810,51,,1335ce,,,,,
3971,7,,6616AW,,,,,
3896,35,,7431BG,,,,,
3872,4,,7121HA,,,,,
3770,26,,6601ck,,,,,
3931,12,,7482ET,,,,,
3942,12,,7131DH,,,,,
3891,28,,7416ZX,,,,,
3813,94,,1335pv,,,,,
3765,22,,7523hc,,,,,
3899,1,,7412BH,,,,,
3934,22,,7451CS,,,,,
3776,3306,,6605gx,,,,,
3937,4,,3871HJ,,,,,
3886,23,,8251CW,,,,,
3808,92,,1318ne,,,,,
3728,137,,3863BZ,,,,,
3862,62,,8253AE,,,,,
3760,188,,7531JK,,,,,
3894,86,,7412MS,,,,,
3889,3,,7419AE,,,,,
3811,2,,1338bg,,,,,
3972,34,,6603CZ,,,,,
3841,94,,6823DS,,,,,
3763,7,,7523AL,,,,,
3897,1,,7411TC,,,,,
3956,120,,3861JS,,,,,
3771,9275,,6601pj,,,,,
3932,32,,7481JD,,,,,
3774,52,,6601ad,,,,,
3758,185,,7535AX,,,,,
3892,8,,7412EA,,,,,
3766,1,,3871pl,,,,,
3900,7,,7413RA,,,,,
3852,78,,1353KG,,,,,
3855,32,,1354cd,,,,,
3847,1,,,,,,,
3812,32,,1354cd,,,,,
3853,16,,1324SP,,,,,
3856,98,,1323tl,,,,,
3851,73,,1356AH,,,,,
3854,sellershof,,,,,,,
3846,31,,1326jr,,,,,
3849,20,,1328bc,,,,,
3814,98,,1323tl,,,,,
3848,,,1351JE,,,,,
3930,41,,7481 BP,,,,,
3884,1,,8252 GX,,,,,
3703,7,,,,,,,
3219,64,,5694SE,,,,,
2900,100,,6003ED,,,,,
2779,9,,1217JK,,,,,
3962,199,,7586BP,,,,,
3721,3,,,,,,,
3552,1097,,1087EN,,,,,
3777,19,,6901DP,,,,,
3619,77,,8924JJ,,,,,
3675,20,,1703RC,,,,,
3970,1,,7051 DZ,,,,,
3560,64,,7621CE,,,,,
3651,15,,8322EK,,,,,
3536,136,,6846KB,,,,,
3627,1,a,7766BA,,,,,
3592,6,,7141XZ,,,,,
3978,34,,7101 GX,,,,,
3737,21,,,,,,,
3871,2,a,7121DA,,,,,
3568,30,,7007GK,,,,,
3659,20,,8094AC,,,,,
3713,1,,7591bc,,,,,
3544,135,,1328RJ,,,,,
3635,101,,6524BE,,,,,
3903,45,,6961AB,,,,,
3986,1,,6903XE,,,,,
3611,12,,8266KN,,,,,
3745,31,,,,,,,
3576,2,,7211AJ,,,,,
3614,156,,7242HM,,,,,
3748,14,,,,,,,
3882,15,,6942CV,,,,,
3555,1,,1024CM,,,,,
3646,36,,8103EZ,,,,,
3941,3501,,8243 WR,,,,,
3622,2,a,7844NM,,,,,
3973,290,,1689 GL,,,,,
3563,4,,7623CV,,,,,
3654,7,,8131CP,,,,,
3539,3,,1319AA,,,,,
3596,85,,9712LS,,,,,
3981,Vinkwijkse,,7038AV,,,,,
3606,20,,8051MT,,,,,
3740,9,,,,,,,
3874,10,,7037CT,,,,,
3662,6,,8042PS,,,,,
3716,11,,,,,,,
3638,48,,8072P,,,,,
3550,133,,1034XR,,,,,
3641,35,,8121DW,,,,,
3936,4,,7041 DM,,,,,
3617,52,,7581EE,,,,,
3751,44,,7881HD,,,,,
3968,2,,7071AG,,,,,
3558,7,,7122XZ,,,,,
3649,9,,7061DB,,,,,
3783,14,,9408AZ,,,,,
3944,17,,7131AM,,,,,
3976,17,,7103XJ,,,,,
3735,53,,,,,,,
3869,85,,9408AV,,,,,
3566,52,,7091RE,,,,,
3657,23,,8191AC,,,,,
3542,426,,1319DS,,,,,
3599,122,,7773DV,,,,,
3984,25,,6901 LA,,,,,
3609,17,,7891RX,,,,,
3574,22,,9761AE,,,,,
3665,2,,1813SC,,,,,
3960,52,,6663KK,,,,,
3719,37,,,,,,,
3577,1,,6842AE,,,,,
3553,30,,1011DK,,,,,
3644,2,,1448GK,,,,,
3939,44,,8245 Er,,,,,
3832,123,,8011BZ,,,,,
3620,2,,8922BZ,,,,,
3676,1,,1701HE,,,,,
3561,26,,7622DV,,,,,
3652,8,,1132MG,,,,,
3537,27,,1363VA,,,,,
3593,4,a,7141EC,,,,,
3684,7,,1741NH,,,,,
3979,105,,7102 AC,,,,,
3738,44,,,,,,,
3660,2,,8043VZ,,,,,
3929,48,,1705 ST,,,,,
3714,2,,,,,,,
3545,36,,1363BB,,,,,
3904,2,,6961 JB,,,,,
3987,57,,6905 TH,,,,,
3824,2,,8052AX,,,,,
3612,2,,7241LA,,,,,
3746,11,,,,,,,
3880,8,,6942 XN,,,,,
3615,2,,8245JE,,,,,
3749,203,c,7884PL,,,,,
3671,7,,1432AC,,,,,
3966,33,,7071 VS,,,,,
3556,7,,1432 AC,,,,,
3647,17,a,7761DJ,,,,,
3915,12,,7075 AR,,,,,
3623,1,T,7161CR,,,,,
3974,800,,1689 CG,,,,,
3564,27,,1261RS,,,,,
3655,2,c,7765BW,,,,,
3540,1,,1336CX,,,,,
3597,53,,7213XD,,,,,
3982,37,z,7021 DK,,,,,
3607,30,,1787RG,,,,,
3741,26,,,,,,,
3875,3,b,6971 EE,,,,,
3663,20,,7894CL,,,,,
3717,62,,,,,,,
3548,245,,1567JP,,,,,
3639,144,,7831HK,,,,,
3720,2,,,,,,,
3551,24,,1036KC,,,,,
3642,69,,8121GN,,,,,
3618,39,,7581TN,,,,,
3752,28,,7512HM,,,,,
3559,38,,7623KV,,,,,
3650,17,,7061ZJ,,,,,
3945,38,,7587 BL,,,,,
3535,35,,6846DX,,,,,
3626,56,,7885AC,,,,,
3977,80,,7101 LZ,,,,,
3736,17,,,,,,,
3567,16,,7091HK,,,,,
3658,4,,8091TV,,,,,
3543,1,,1363TN,,,,,
3634,9,,6525TG,,,,,
3902,4,,6961 ZP,,,,,
3600,24,,7217TW,,,,,
3985,1,,6904 GZ,,,,,
3610,26,,7891DW,,,,,
3744,69,,,,,,,
3575,18,,9766PG,,,,,
3961,3,,6525 BP,,,,,
3613,1,,7242CC,,,,,
3881,93,,6942 TH,,,,,
3578,6,,7214BB,,,,,
3964,4,,7064 HD,,,,,
3645,185,,1448ME,,,,,
3940,2,,8232JA,,,,,
3833,247,,8031GA,,,,,
3621,4,,7833GW,,,,,
3562,18,,7622VN,,,,,
3653,13,,7051AW,,,,,
3538,11,,1336SB,,,,,
3595,195,,9617AE,,,,,
3605,10,,8181ZE,,,,,
3739,2,,,,,,,
3661,33,,8043PD,,,,,
3715,11,,7152BD,,,,,
3546,2,,7218BK,,,,,
3637,16,,8071RX,,,,,
3905,20,,6661 PG,,,,,
3825,1,,8105BM,,,,,
3640,45,,8096BA,,,,,
3935,2,a,7041 HD,,,,,
3750,5,a,7881BL,,,,,
3967,26,,7071 ZB,,,,,
3557,13,,1187EC,,,,,
3648,41,,2064KW,,,,,
3943,27,,7131 WJ,,,,,
3624,19 (T01),,7161HR,,,,,
3975,9,,7101 BG,,,,,
3734,Lugtenberg,,,,,,,
3868,130,,9406XD,,,,,
3656,2,,8191AS,,,,,
3712,6,,7623pn,,,,,
3541,23,,1319EH,,,,,
3983,7,,1461 BL,,,,,
3608,2,,7891NC,,,,,
3742,6,,,,,,,
3876,33,,6971 VD,,,,,
3573,37 (T01),,7151BN,,,,,
3664,13,,6903CT,,,,,
3718,5,,7771cv,,,,,
3310,9,,4161AB,,,,,
3390,2,,3984CS,,,,,
3132,42,,2406KT,,,,,
3366,18,,5864AM,,,,,
3528,5,,3708DM,,,,,
3184,53,,5721HS,,,,,
3318,100,,5961DH,,,,,
3504,6,,5262XE,,,,,
3398,52,,2643HW,,,,,
3140,169,,2408TX,,,,,
3374,5,,6086CH,,,,,
3294,74,,4208BR,,,,,
3350,82,,4128CS,,,,,
3272,11,a,4871KL,,,,,
3430,15,,3764TB,,,,,
3192,108,,4827GH,,,,,
3248,53,,3314HT,,,,,
3148,17,,4233GE,,,,,
3382,56,,2957SN,,,,,
3302,1,,4635BN,,,,,
3438,41,,3769BP,,,,,
3200,36,,5571CK,,,,,
3691,12,,4634TD,,,,,
3520,26,,6709PG,,,,,
3256,22,,5102 GB,,,,,
3414,26,,3752JM,,,,,
3523,20,,6004EZ,,,,,
3417,101,,5711NH,,,,,
3670,2,,3317GT,,,,,
3473,3,,3136LA,,,,,
3135,289,,2401XH,,,,,
3289,12,A,5291NR,,,,,
3211,2,,3621CZ,,,,,
3345,29,,3832CT,,,,,
3531,54,,2721LA,,,,,
3425,54,,3766GX,,,,,
3187,18,,6095BC,,,,,
3507,20,,5261EL,,,,,
3401,8,,5561AC,,,,,
3143,326,,2408NE,,,,,
3297,1,,6096AV,,,,,
3353,1,,6658GM,,,,,
3275,15,,6562KJ,,,,,
3195,1,,6191BZ,,,,,
3515,1,,3962HT,,,,,
3305,26,,3372EP,,,,,
3227,50,,4105BT,,,,,
3361,16,,4337WN,,,,,
3441,65,,5014RH,,,,,
3203,203,,2662HN,,,,,
3444,305,,5025SZ,,,,,
3206,17,,5258LX,,,,,
3526,7,,5563BZ,,,,,
3420,7,a,5712CA,,,,,
3673,12,,6621KV,,,,,
3316,3,,4631GC,,,,,
3502,141,,3781GB,,,,,
3238,127,,3311WD,,,,,
3396,14,,4641CL,,,,,
3138,33,,2401JK,,,,,
3372,1,,2673BM,,,,,
3452,59,,6235BC,,,,,
3292,10,A,5422CS,,,,,
3214,2,,2665CT,,,,,
3348,51,,3947NV,,,,,
